,Municipio,Votos_totales,Votos_conservador,Porcentaje_votos_conservador,Votos_verde,Porcentaje_votos_verde
51,GRANADA,61046,20971,34.35278314713494,560,0.9173410215247517
88,SAN ANDRES DE CUERQUIA,14568,4459,30.608182317408016,435,2.985996705107084
89,SAN CARLOS,68037,19318,28.393374193453564,1758,2.583888178491115
34,COCORNA,75082,20687,27.55254255347487,621,0.8270957086918304
72,NARINO,41912,10603,25.298243939683147,223,0.5320671883947318
58,ITUANGO,66202,16694,25.216760822935864,1531,2.312618954110148
12,ARGELIA,30542,7143,23.387466439656865,134,0.43874009560605065
65,LIBORINA,43429,10153,23.378387713279146,746,1.71774620645191
1,ABRIAQUI,10237,2393,23.375989059294717,89,0.8693953306632803
35,CONCEPCION,25019,5847,23.37023861864983,271,1.0831767856429115
7,ANGOSTURA,29034,6713,23.12116828545843,634,2.1836467589722393
99,SAN VICENTE FERRER,61307,14038,22.89787463095568,1784,2.909945030746897
25,CANASGORDAS,70388,15941,22.647326248792407,600,0.8524180257998523
111,TOLEDO,16215,3666,22.608695652173914,285,1.757631822386679
107,TAMESIS,78983,17302,21.905979767798133,1901,2.406847043034577
60,JERICO,64258,14063,21.885212736157367,880,1.3694792866257899
59,JARDIN,59311,12924,21.790224410311744,1652,2.785318069160864
92,SAN JOSE DE LA MONTANA,15543,3326,21.3987003795921,572,3.680113234253362
105,SONSON,130375,27569,21.145925215723874,1837,1.409012464046021
24,CAMPAMENTO,16171,3417,21.130418650670954,322,1.9912188485560571
94,SAN LUIS,42286,8753,20.699522300524997,725,1.7145154424632265
16,BELMIRA,17564,3548,20.200409929401047,540,3.0744705078569803
8,ANORI,27288,5511,20.195690413368514,805,2.9500146584579303
116,VALPARAISO,32048,6379,19.904518222666002,655,2.0438092860708936
27,CARAMANTA,28323,5637,19.902552695689018,964,3.4035942520213256
0,ABEJORRAL,73512,14427,19.625367286973557,1097,1.4922733703340951
103,SANTO DOMINGO,44060,8561,19.430322287789377,763,1.731729459827508
75,OLAYA,13162,2504,19.02446436711746,199,1.5119282783771464
98,SAN ROQUE,59667,11264,18.87810682621885,912,1.5284830811001056
76,PENOL,54558,10222,18.73602404780234,1911,3.502694380292533
85,SABANALARGA,28871,5389,18.66578920023553,293,1.0148592012746354
2,ALEJANDRIA,19258,3575,18.5637137812857,312,1.6201059300031155
121,YARUMAL,119437,21677,18.149317213258872,3801,3.182430904995939
29,CAROLINA,21181,3786,17.874510174212737,389,1.8365516264576744
54,GUATAPE,29525,5261,17.818797629127857,998,3.380186282811177
43,EL SANTUARIO,109424,19173,17.52175025588536,2449,2.2380830530779354
97,SAN RAFAEL,46889,8127,17.33242338288298,1415,3.0177653607455905
69,MONTEBELLO,30519,5272,17.27448474720666,520,1.7038566139126445
20,BURITICA,24907,4222,16.951057935520137,550,2.2082145581563415
32,CISNEROS,48727,8196,16.820243396884685,1172,2.405237342746321
33,CIUDAD BOLIVAR,85791,14371,16.751174365609447,1369,1.5957384807264168
122,YOLOMBO,55608,9081,16.33038411739318,1235,2.220903467127032
102,SANTA ROSA DE OSOS,104038,16377,15.741363732482364,3932,3.77938830042869
26,CARACOLI,20966,3289,15.687303252885624,257,1.2257941428980255
67,MARINILLA,152623,22648,14.83917889177909,7471,4.895068240042458
115,VALDIVIA,26575,3769,14.182502351834431,581,2.1862652869238004
95,SAN PEDRO DE LOS MILAGROS,55240,7805,14.129254163649529,2352,4.257784214337437
46,FREDONIA,84041,11687,13.906307635558834,1980,2.3559929082233673
48,GIRALDO,19149,2640,13.786620711264296,544,2.8408794192908244
78,PUEBLORRICO,34987,4801,13.722239689027353,324,0.9260582502072198
13,ARMENIA,24103,3272,13.575073642285194,193,0.8007301995602208
5,ANDES,146933,19565,13.315592821217834,2748,1.8702401774958652
42,EL CARMEN DE VIBORAL,116067,15418,13.283706824506536,8120,6.995959230444485
53,GUARNE,127340,16777,13.174964661536045,6415,5.037694361551751
52,GUADALUPE,15097,1969,13.042326289991388,330,2.1858647413393393
106,SOPETRAN,54156,7063,13.041952876874216,1431,2.6423664967870595
120,YALI,21680,2804,12.933579335793358,277,1.2776752767527675
90,SAN FRANCISCO,10857,1394,12.839642626876667,297,2.735562310030395
17,BETANIA,37414,4794,12.813385363767575,447,1.1947399369220078
49,GIRARDOTA,132829,16956,12.76528468933742,10791,8.123978950379811
66,MACEO,28046,3579,12.761178064608144,548,1.9539328246452257
39,DONMATIAS,42109,5286,12.55313590918806,1997,4.742454107197986
47,FRONTINO,62117,7595,12.226926606243058,1113,1.7917800280116554
4,AMALFI,46641,5693,12.205999013743272,1639,3.514075598722154
14,BARBOSA,131278,15813,12.045430308200917,6873,5.235454531604686
19,BRICENO,12173,1462,12.010186478271585,598,4.912511295490019
61,LA CEJA,174337,20562,11.794398205773875,11350,6.51037932280583
81,PUERTO TRIUNFO,34753,4089,11.765890714470693,1160,3.337841337438494
50,GOMEZ PLATA,32915,3735,11.347409995442808,534,1.6223606258544736
3,AMAGA,84125,9423,11.201188707280831,3298,3.9203566121842495
55,HELICONIA,25496,2840,11.139002196422968,415,1.6277063068716662
44,ENTRERRIOS,27962,3074,10.99349116658322,1436,5.135541091481296
64,LA UNION,66316,7180,10.826949755715061,3650,5.503950781108631
124,ZARAGOZA,48225,5145,10.668740279937792,1355,2.809745982374287
37,COPACABANA,200273,20526,10.249010101211846,13797,6.889096383436609
109,TARSO,21595,2171,10.053253067839778,299,1.384579763834221
68,MEDELLIN,5988134,597958,9.985715082528213,310430,5.184085726872512
6,ANGELOPOLIS,24066,2352,9.773123909249563,485,2.0152912823069893
62,LA ESTRELLA,156829,15325,9.771789656249801,12424,7.922004221158077
36,CONCORDIA,60728,5737,9.447042550388618,593,0.976485311553155
87,SALGAR,47268,4337,9.175340610984176,467,0.987983413725988
23,CALDAS,213418,18480,8.65906343419955,15928,7.463288007571994
82,REMEDIOS,42180,3616,8.572783309625414,2739,6.4935988620199145
57,ITAGUI,775314,65721,8.476694603734746,50818,6.554505658352616
15,BELLO,977612,82826,8.472277345204438,62919,6.435988919939607
104,SEGOVIA,57651,4857,8.424832179840767,3180,5.515949419784566
101,SANTA FE DE ANTIOQUIA,50281,4180,8.313279369940933,2190,4.355521966548
100,SANTA BARBARA,98977,8153,8.23726724390515,2570,2.5965628378310113
118,VENECIA,46314,3779,8.15951979962862,787,1.6992701990758734
86,SABANETA,176734,14163,8.013738160172915,15047,8.513924881460273
11,ARBOLETES,82354,6598,8.011754134589697,670,0.8135609685018336
45,ENVIGADO,808719,62816,7.7673456416876565,44674,5.524044816555565
70,MURINDO,6944,530,7.632488479262673,66,0.9504608294930876
83,RETIRO,63274,4666,7.374276954199196,2776,4.38726807219395
84,RIONEGRO,368845,26999,7.319876913066464,23038,6.24598408545595
79,PUERTO BERRIO,114638,7653,6.675796856190792,3801,3.3156544950191034
22,CAICEDO,22528,1444,6.409801136363637,432,1.9176136363636365
91,SAN JERONIMO,41954,2634,6.278304810030033,1033,2.462220527244124
80,PUERTO NARE,36347,2247,6.182078300822626,978,2.6907310094368175
9,ANZA,17629,1067,6.052527086051392,269,1.5258948323784671
110,TITIRIBI,36240,2188,6.037527593818984,1066,2.9415011037527594
56,HISPANIA,13173,778,5.906019889167236,510,3.8715554543384196
114,URRAO,79002,4572,5.7871952608794714,1457,1.844257107415002
41,EL BAGRE,59817,3447,5.762575856361904,2250,3.761472491097848
117,VEGACHI,20154,1154,5.7259104892329065,689,3.418676193311501
30,CAUCASIA,191655,10958,5.717565417025384,4815,2.5123268372857477
18,BETULIA,55113,3127,5.673797470651207,463,0.8400921742601564
40,EBEJICO,51503,2801,5.438518144574102,611,1.1863386598838903
112,TURBO,219264,11177,5.097508026853474,2491,1.1360734092235842
73,NECHI,35629,1796,5.040837519997755,446,1.2517892727834068
113,URAMITA,17495,873,4.989997142040583,184,1.0517290654472706
21,CACERES,52390,2570,4.905516319908379,813,1.5518228669593432
108,TARAZA,35879,1596,4.448284511831433,1315,3.6650965745979542
31,CHIGORODO,99355,3778,3.802526294600171,2880,2.8986965930250115
28,CAREPA,70399,2673,3.796928933649626,2867,4.072501029844174
77,PEQUE,30217,1134,3.7528543535096137,596,1.9723996425852997
10,APARTADO,194015,7208,3.7151766615983304,6654,3.429631729505451
38,DABEIBA,65220,2235,3.4268629254829803,782,1.1990187059184299
71,MUTATA,25530,801,3.1374853113983545,428,1.6764590677634157
123,YONDO,29737,913,3.0702491845176043,1198,4.0286511753034935
63,LA PINTADA,14208,414,2.9138513513513513,551,3.878096846846847
96,SAN PEDRO DE URABA,52097,1047,2.0097126514002728,1104,2.1191239418776515
74,NECOCLI,62368,1088,1.7444843509492047,965,1.5472678296562339
119,VIGIA DEL FUERTE,11541,181,1.568321635906767,612,5.302833376657135
93,SAN JUAN DE URABA,29345,221,0.753109558698245,471,1.6050434486283862
Porcentaje_votos_verde,0,0,0,0.0,0,0.0
